publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Separation & Purification Reviews	1542-2119	1542-2127	1997-01	26	1	2002-07	31	1	http://www.tandfonline.com/openurl?genre=journal&stitle=lspr20		lspr20		fulltext		Taylor & Francis	Serial							10.1080/lspr19	P
Separation & Purification Reviews	1542-2119	1542-2127	2003-01	32	1				http://www.tandfonline.com/openurl?genre=journal&stitle=lspr20		lspr20		fulltext		Taylor & Francis	Serial							10.1080/lspr19	P
Separation Science and Technology	0149-6395	1520-5754	1997-01	32	1-4				http://www.tandfonline.com/openurl?genre=journal&stitle=lsst20		lsst20		fulltext		Taylor & Francis	Serial							10.1080/lsst19	P
Sequential Analysis	0747-4946	1532-4176	1997-01	16	1				http://www.tandfonline.com/openurl?genre=journal&stitle=lsqa20		lsqa20		fulltext		Taylor & Francis	Serial							10.1080/lsqa19	P
Serials Review	0098-7913	1879-095X	1997-03	23	1				http://www.tandfonline.com/openurl?genre=journal&stitle=usrv20		usrv20		fulltext		Routledge	Serial								P
Services Marketing Quarterly	1533-2969	1533-2977	2001-05	22	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wsmq20		wsmq20		fulltext		Routledge	Serial							10.1080/wzps20	P
Settler Colonial Studies	2201-473X	1838-0743	2011-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rset20		rset20		fulltext		Routledge	Serial								P
Sex Education	1468-1811	1472-0825	2001-04	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=csed20		csed20		fulltext		Routledge	Serial								P
Sexual Addiction & Compulsivity	1072-0162	1532-5318	1997-01	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=usac20		usac20		fulltext		Routledge	Serial								P
Sexual and Marital Therapy	0267-4653		1997-02	12	1	1999-11	14	4	http://www.tandfonline.com/openurl?genre=journal&stitle=csmt19		csmt19		fulltext		Routledge	Serial								P
Sexual and Relationship Therapy	1468-1994	1468-1749	2000-02	15	1				http://www.tandfonline.com/openurl?genre=journal&stitle=csmt20		csmt20		fulltext		Routledge	Serial							10.1080/csmt19	P
Shakespeare	1745-0918	1745-0926	2005-12	1	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=rshk20		rshk20		fulltext		Routledge	Serial								P
Ships and Offshore Structures	1744-5302	1754-212X	2006-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tsos20		tsos20		fulltext		Taylor & Francis	Serial								P
Sikh Formations	1744-8727	1744-8735	2005-06	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rsfo20		rsfo20		fulltext		Routledge	Serial								P
Sites: The Journal of Twentieth-Century/Contemporary French Studies revue d'études français	1026-0218		1997-03	1	1	2003-01	7	2	http://www.tandfonline.com/openurl?genre=journal&stitle=gsit19		gsit19		fulltext		Routledge	Serial								P
Slavery & Abolition	0144-039X	1743-9523	1997-04	18	1				http://www.tandfonline.com/openurl?genre=journal&stitle=fsla20		fsla20		fulltext		Routledge	Serial								P
Slavic & East European Information Resources	1522-8886	1522-9041	2001-01	1	4				http://www.tandfonline.com/openurl?genre=journal&stitle=wsee20		wsee20		fulltext		Routledge	Serial								P
Small Enterprise Research	1321-5906		1997-01	5	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rser20		rser20		fulltext		Routledge	Serial								P
Small Fruits Review	1522-8851		2000-04	1	1	2000-04	1	1	http://www.tandfonline.com/openurl?genre=journal&stitle=wzsf20		wzsf20		fulltext		Taylor & Francis	Serial							10.1080/wzsv20	P
Small Fruits Review	1522-8851		2001-04	1	2	2005-06	4	4	http://www.tandfonline.com/openurl?genre=journal&stitle=wzsf20		wzsf20		fulltext		Taylor & Francis	Serial							10.1080/wzsv20	P
Small GTPases	2154-1248	2154-1256	2010-07	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ksgt20		ksgt20		fulltext		Taylor & Francis	Serial								P
Small Wars & Insurgencies	0959-2318	1743-9558	1997-03	8	1				http://www.tandfonline.com/openurl?genre=journal&stitle=fswi20		fswi20		fulltext		Routledge	Serial								P
Smith College Studies in Social Work	0037-7317	1553-0426	1997-03	67	2				http://www.tandfonline.com/openurl?genre=journal&stitle=wscs20		wscs20		fulltext		Routledge	Serial								P
Soccer & Society	1466-0970	1743-9590	2000-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=fsas20		fsas20		fulltext		Routledge	Serial								P
Social & Cultural Geography	1464-9365	1470-1197	2000-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rscg20		rscg20		fulltext		Routledge	Serial								P
Social Biology	0037-766X		1997-03	44	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=hsbi19		hsbi19		fulltext		Routledge	Serial							10.1080/hsbi18	P
Social Dynamics	0253-3952	1940-7874	1997-01	23	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rsdy20		rsdy20		fulltext		Routledge	Serial								P
Social Epistemology	0269-1728	1464-5297	1997-01	11	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tsep20		tsep20		fulltext		Routledge	Serial								P
Social History	0307-1022	1470-1200	1997-01	22	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rshi20		rshi20		fulltext		Routledge	Serial								P
Social Identities	1350-4630	1363-0296	1996-02	2	1				http://www.tandfonline.com/openurl?genre=journal&stitle=csid20		csid20		fulltext		Routledge	Serial								P
Social Influence	1553-4510	1553-4529	2006-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=psif20		psif20		fulltext		Routledge	Serial								P
Social Movement Studies	1474-2837	1474-2829	2002-04	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=csms20		csms20		fulltext		Routledge	Serial								P
Social Neuroscience	1747-0919	1747-0927	2006-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=psns20		psns20		fulltext		Routledge	Serial								P
Social Sciences in China	0252-9203	1940-5952	2008-02	29	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rssc20		rssc20		fulltext		Routledge	Serial								P
Social Semiotics	1035-0330	1470-1219	1997-04	7	1				http://www.tandfonline.com/openurl?genre=journal&stitle=csos20		csos20		fulltext		Routledge	Serial								P
Social Thought	0099-183X		1998-01	18	2				http://www.tandfonline.com/openurl?genre=journal&stitle=wzst20		wzst20		fulltext		Routledge	Serial								P
Social Work Education	0261-5479	1470-1227	1997-01	16	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cswe20		cswe20		fulltext		Routledge	Serial								P
Social Work in Health Care	0098-1389	1541-034X	1997-04	24	3-4				http://www.tandfonline.com/openurl?genre=journal&stitle=wshc20		wshc20		fulltext		Routledge	Serial								P
Social Work in Mental Health	1533-2985	1533-2993	2002-03	1	2				http://www.tandfonline.com/openurl?genre=journal&stitle=wsmh20		wsmh20		fulltext		Routledge	Serial								P
Social Work in Public Health	1937-1918	1937-190X	2007-02	23	1				http://www.tandfonline.com/openurl?genre=journal&stitle=whsp20		whsp20		fulltext		Routledge	Serial							10.1080/wzhs20	P
Social Work with Groups	0160-9513	1540-9481	1997-04	19	3-4				http://www.tandfonline.com/openurl?genre=journal&stitle=wswg20		wswg20		fulltext		Routledge	Serial								P
Social and Environmental Accountability Journal	0969-160X	2156-2245	1997-04	17	1				http://www.tandfonline.com/openurl?genre=journal&stitle=reaj20		reaj20		fulltext		Routledge	Serial								P
Socialism and Democracy	0885-4300	1745-2635	1995-01	9	1				http://www.tandfonline.com/openurl?genre=journal&stitle=csad20		csad20		fulltext		Routledge	Serial								P
Society & Natural Resources	0894-1920	1521-0723	1997-01	10	1				http://www.tandfonline.com/openurl?genre=journal&stitle=usnr20		usnr20		fulltext		Routledge	Serial								P
Society in Transition	1028-9852		1997-12	28	1-4	1997-12	28	1-4	http://www.tandfonline.com/openurl?genre=journal&stitle=rssr19		rssr19		fulltext		Routledge	Serial							10.1080/rssr18	P
Society in Transition	1028-9852		1998-06	29	1-2	2004-07	35	2	http://www.tandfonline.com/openurl?genre=journal&stitle=rssr19		rssr19		fulltext		Routledge	Serial							10.1080/rssr18	P
Society in Transition	1028-9852		2005-01	36	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rssr19		rssr19		fulltext		Routledge	Serial							10.1080/rssr18	P
Sociological Focus	0038-0237	2162-1128	1997-02	30	1				http://www.tandfonline.com/openurl?genre=journal&stitle=usfo20		usfo20		fulltext		Routledge	Serial								P
Sociological Research	1061-0154	2328-5184	1997-01	36	1				http://www.tandfonline.com/openurl?genre=journal&stitle=msor20		msor20		fulltext		Routledge	Serial							10.1080/msor19	P
Sociological Spectrum	0273-2173	1521-0707	1997-01	17	1				http://www.tandfonline.com/openurl?genre=journal&stitle=usls20		usls20		fulltext		Routledge	Serial								P
Soft Materials	1539-445X	1539-4468	2002-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=lsfm20		lsfm20		fulltext		Taylor & Francis	Serial								P
Soil Science and Plant Nutrition	0038-0768	1747-0765	1997-03	43	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tssp20		tssp20		fulltext		Taylor & Francis	Serial								P
Soil and Sediment Contamination: An International Journal	1532-0383	1549-7887	2001-01	10	1				http://www.tandfonline.com/openurl?genre=journal&stitle=bssc20		bssc20		fulltext		Taylor & Francis	Serial							10.1080/bssc19	P
Solvent Extraction and Ion Exchange	0736-6299	1532-2262	1997-01	15	1				http://www.tandfonline.com/openurl?genre=journal&stitle=lsei20		lsei20		fulltext		Taylor & Francis	Serial								P
Souls	1099-9949	1548-3843	1999-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=usou20		usou20		fulltext		Taylor & Francis	Serial								P
South African Geographical Journal	0373-6245	2151-2418	1997-04	79	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rsag20		rsag20		fulltext		Routledge	Serial								P
South African Historical Journal	0258-2473	1726-1686	1997-05	36	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rshj20		rshj20		fulltext		Routledge	Serial								P
South African Journal of Accounting Research	1029-1954	2376-3981	1997-01	11	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rsar20		rsar20		fulltext		Routledge	Serial							10.1080/rsar19	P
South African Journal of Economic History	1011-3436	2159-0850	1997-09	12	1-2	2009-09	24	2	http://www.tandfonline.com/openurl?genre=journal&stitle=rehd19		rehd19		fulltext		Routledge	Serial								P
South African Journal of International Affairs	1022-0461	1938-0275	1997-01	5	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rsaj20		rsaj20		fulltext		Routledge	Serial								P
South African Journal of Linguistics	1011-8063		1997-02	15	1	2000-12	18	sup39	http://www.tandfonline.com/openurl?genre=journal&stitle=rall18		rall18		fulltext		Routledge	Serial								P
South African Journal of Marine Science	0257-7615		1997-06	18	1	2002-06	24	1	http://www.tandfonline.com/openurl?genre=journal&stitle=tams19		tams19		fulltext		Taylor & Francis	Serial								P
South African Journal of Philosophy	0258-0136	2073-4867	1998-08	17	3				http://www.tandfonline.com/openurl?genre=journal&stitle=rsph20		rsph20		fulltext		Routledge	Serial								P
South African Journal of Plant and Soil	0257-1862	2167-034X	1997-01	14	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tjps20		tjps20		fulltext		Taylor & Francis	Serial								P
South African Journal of Zoology	0254-1858		1997-01	32	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tafz19		tafz19		fulltext		Taylor & Francis	Serial							10.1080/tafz18	P
South African Review of Sociology	2152-8586	2072-1978	2005-07	36	2				http://www.tandfonline.com/openurl?genre=journal&stitle=rssr20		rssr20		fulltext		Routledge	Serial							10.1080/rssr19	P
South African Theatre Journal	1013-7548	2163-7660	1997-01	11	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rthj20		rthj20		fulltext		Routledge	Serial								P
South Asia: Journal of South Asian Studies	0085-6401	1479-0270	1997-01	20	sup001				http://www.tandfonline.com/openurl?genre=journal&stitle=csas20		csas20		fulltext		Routledge	Serial							10.1080/csas19	P
South Asian Diaspora	1943-8192	1943-8184	2009-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rsad20		rsad20		fulltext		Routledge	Serial								P
South Asian History and Culture	1947-2498	1947-2501	2010-03	1	2				http://www.tandfonline.com/openurl?genre=journal&stitle=rsac20		rsac20		fulltext		Routledge	Serial								P
South Asian Popular Culture	1474-6689	1474-6697	2003-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rsap20		rsap20		fulltext		Routledge	Serial								P
South Asian Studies	0266-6030	2153-2699	1997-01	13	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rsas20		rsas20		fulltext		Routledge	Serial								P
South European Society and Politics	1360-8746	1743-9612	1997-03	2	1				http://www.tandfonline.com/openurl?genre=journal&stitle=fses20		fses20		fulltext		Routledge	Serial								P
Southeast European and Black Sea Studies	1468-3857	1743-9639	2001-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=fbss20		fbss20		fulltext		Routledge	Serial								P
Southern African Journal of Applied Language Studies	1018-9203		1997-01	5	1	1999-01	7	1	http://www.tandfonline.com/openurl?genre=journal&stitle=rall19		rall19		fulltext		Routledge	Serial							10.1080/rall17	P
Southern African Journal of Aquatic Sciences	1018-3469		1997-01	23	1	1998-01	24	1-2	http://www.tandfonline.com/openurl?genre=journal&stitle=taas19		taas19		fulltext		Taylor & Francis	Serial							10.1080/taas18	P
Southern African Journal of Child and Adolescent Mental Health	1682-6108		1997-01	9	1	2002-01	14	2	http://www.tandfonline.com/openurl?genre=journal&stitle=rcmh19		rcmh19		fulltext		Routledge	Serial								P
Southern African Linguistics and Applied Language Studies	1607-3614	1727-9461	2001-02	19	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=rall20		rall20		fulltext		Routledge	Serial							10.1080/rall18,10.1080/rall19	P
Southern Communication Journal	1041-794X	1930-3203	1997-03	62	2				http://www.tandfonline.com/openurl?genre=journal&stitle=rsjc20		rsjc20		fulltext		Routledge	Serial							10.1080/rsjc19	P
Southern Forests: a Journal of Forest Science	2070-2620	2070-2639	2008-07	70	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tsfs20		tsfs20		fulltext		Taylor & Francis	Serial							10.1080/tsfs19	P
Southern Hemisphere Forestry Journal	1991-931X		2007-03	69	1	2007-12	69	3	http://www.tandfonline.com/openurl?genre=journal&stitle=tsfs19		tsfs19		fulltext		Taylor & Francis	Serial							10.1080/tsfs18	P
Space and Polity	1356-2576	1470-1235	1997-05	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cspp20		cspp20		fulltext		Routledge	Serial								P
Spatial Cognition & Computation	1387-5868	1542-7633	2003-03	3	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hscc20		hscc20		fulltext		Taylor & Francis	Serial								P
Spatial Economic Analysis	1742-1772	1742-1780	2006-06	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rsea20		rsea20		fulltext		Routledge	Serial								P
Special Operations Journal	2329-6151	2372-2657	2015-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uops20		uops20		fulltext		Routledge	Serial								P
Special Services in the Schools	0739-9820		1998-08	13	1-2	2002-09	18	1-2	http://www.tandfonline.com/openurl?genre=journal&stitle=wzss20		wzss20		fulltext		Taylor & Francis	Serial								P
Spectroscopy Letters	0038-7010	1532-2289	1997-01	30	1				http://www.tandfonline.com/openurl?genre=journal&stitle=lstl20		lstl20		fulltext		Taylor & Francis	Serial								P
Spermatogenesis		2156-5562	2011-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=kspe20		kspe20		fulltext		Taylor & Francis	Serial								P
Sport in History	1746-0263	1746-0271	2003-06	23	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rsih20		rsih20		fulltext		Routledge	Serial							10.1080/rsih19	P
Sport in Society	1743-0437	1743-0445	2004-03	7	1				http://www.tandfonline.com/openurl?genre=journal&stitle=fcss20		fcss20		fulltext		Routledge	Serial							10.1080/fcss19	P
Sport, Education and Society	1357-3322	1470-1243	1997-03	2	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cses20		cses20		fulltext		Routledge	Serial								P
Sport, Ethics and Philosophy	1751-1321	1751-133X	2007-04	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rsep20		rsep20		fulltext		Routledge	Serial								P
Sports Biomechanics	1476-3141	1752-6116	2002-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rspb20		rspb20		fulltext		Routledge	Serial								P
Sports Coaching Review	2164-0629	2164-0637	2012-05	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rspc20		rspc20		fulltext		Routledge	Serial								P
Sports Medicine, Training and Rehabilitation	1057-8315		1997-08	7	3-4	2001-01	10	4	http://www.tandfonline.com/openurl?genre=journal&stitle=gspm19		gspm19		fulltext		Taylor & Francis	Serial								P
Sports Technology	1934-6182	1934-6190	2008-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rtec20		rtec20		fulltext		Routledge	Serial								P
Stanislavski Studies	2056-7790	2054-4170	2013-05	1	2				http://www.tandfonline.com/openurl?genre=journal&stitle=rfst20		rfst20		fulltext		Routledge	Serial								P
Statistics	0233-1888	1029-4910	1997-01	29	1				http://www.tandfonline.com/openurl?genre=journal&stitle=gsta20		gsta20		fulltext		Taylor & Francis	Serial							10.1080/gsta19	P
Statistics in Biopharmaceutical Research		1946-6315	2009-02	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=usbr20		usbr20		fulltext		Taylor & Francis	Serial								P
Statutes and Decisions	1061-0014	1558-0903	1997-01	33	1				http://www.tandfonline.com/openurl?genre=journal&stitle=mrsd20		mrsd20		fulltext		Routledge	Serial								P
Statyba	1392-1525		1997-01	3	10	2001-01	7	6	http://www.tandfonline.com/openurl?genre=journal&stitle=tcem19		tcem19		fulltext		Taylor & Francis	Serial								P
Statybinės Konstrukcijos ir Technologijos	2029-2317	2029-2325	2009-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tesn19		tesn19		fulltext		Taylor & Francis	Serial								P
Stochastic Analysis and Applications	0736-2994	1532-9356	1997-01	15	1				http://www.tandfonline.com/openurl?genre=journal&stitle=lsaa20		lsaa20		fulltext		Taylor & Francis	Serial								P
Stochastic Models	1532-6349	1532-4214	2001-04	17	1				http://www.tandfonline.com/openurl?genre=journal&stitle=lstm20		lstm20		fulltext		Taylor & Francis	Serial							10.1080/lstm19	P
Stochastics An International Journal of Probability and Stochastic Processes	1744-2508	1744-2516	2005-02	77	1				http://www.tandfonline.com/openurl?genre=journal&stitle=gssr20		gssr20		fulltext		Taylor & Francis	Serial							10.1080/gssr19	P
Stochastics and Stochastic Reports	1045-1129		1997-02	60	1-2	2004-12	76	6	http://www.tandfonline.com/openurl?genre=journal&stitle=gssr19		gssr19		fulltext		Taylor & Francis	Serial							10.1080/gssr18	P
Strategic Analysis	0970-0161	1754-0054	1998-04	22	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rsan20		rsan20		fulltext		Routledge	Serial								P
Strategic Comments		1356-7888	1997-01	3	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tstc20		tstc20		fulltext		Routledge	Serial								P
Strategic Planning for Energy and the Environment	1048-5236	1546-0126	1997-01	16	3				http://www.tandfonline.com/openurl?genre=journal&stitle=ustp20		ustp20		fulltext		Taylor & Francis	Serial								P
Strategic Survey	0459-7230	1476-4997	1997-01	98	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tssu20		tssu20		fulltext		Routledge	Serial								P
Strategies	0892-4562	2168-3778	1997-01	10	3				http://www.tandfonline.com/openurl?genre=journal&stitle=ustr20		ustr20		fulltext		Routledge	Serial								P
Stress, Trauma, and Crisis	1543-4613	1543-4591	2004-01	7	1				http://www.tandfonline.com/openurl?genre=journal&stitle=gcit20		gcit20		fulltext		Taylor & Francis	Serial							10.1080/gcit19	P
Structural Equation Modeling: A Multidisciplinary Journal	1070-5511	1532-8007	1997-01	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hsem20		hsem20		fulltext		Routledge	Serial								P
Structure and Infrastructure Engineering	1573-2479	1744-8980	2005-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=nsie20		nsie20		fulltext		Taylor & Francis	Serial								P
Studia Neophilologica	0039-3274	1651-2308	1997-01	69	1				http://www.tandfonline.com/openurl?genre=journal&stitle=snec20		snec20		fulltext		Routledge	Serial								P
Studia Theologica - Nordic Journal of Theology	0039-338X	1502-7791	1997-01	51	1				http://www.tandfonline.com/openurl?genre=journal&stitle=sthe20		sthe20		fulltext		Routledge	Serial								P
Studies in Art Education	0039-3541	2325-8039	1997-01	38	2				http://www.tandfonline.com/openurl?genre=journal&stitle=usae20		usae20		fulltext		Routledge	Serial								P
Studies in Chinese Religions	2372-9988	2372-9996	2015-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rstu20		rstu20		fulltext		Routledge	Serial								P
Studies in Conflict & Terrorism	1057-610X	1521-0731	1997-01	20	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uter20		uter20		fulltext		Routledge	Serial							10.1080/uter19	P
Studies in Continuing Education	0158-037X	1470-126X	1997-01	19	1				http://www.tandfonline.com/openurl?genre=journal&stitle=csce20		csce20		fulltext		Routledge	Serial								P
Studies in Cultures, Organizations and Societies	1024-5286		1997-02	3	1	2001-01	7	2	http://www.tandfonline.com/openurl?genre=journal&stitle=gsco19		gsco19		fulltext		Routledge	Serial								P
Studies in Gender and Sexuality	1524-0657	1940-9206	2000-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hsgs20		hsgs20		fulltext		Routledge	Serial								P
Studies in Higher Education	0307-5079	1470-174X	1976-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cshe20		cshe20		fulltext		Routledge	Serial								P
Studies in Science Education	0305-7267	1940-8412	1997-01	29	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rsse20		rsse20		fulltext		Routledge	Serial								P
Studies in Travel Writing	1364-5145	1755-7550	1997-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rstw20		rstw20		fulltext		Routledge	Serial								P
Studies in the History of Gardens & Designed Landscapes	1460-1176	1943-2186	1998-03	18	1	1998-12	18	4	http://www.tandfonline.com/openurl?genre=journal&stitle=tgah20		tgah20		fulltext		Routledge	Serial							10.1080/tgah19	P
Studies in the History of Gardens & Designed Landscapes	1460-1176	1943-2186	1999-03	19	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tgah20		tgah20		fulltext		Routledge	Serial							10.1080/tgah19	P
Studies on Neotropical Fauna and Environment	0165-0521	1744-5140	1996-03	31	1				http://www.tandfonline.com/openurl?genre=journal&stitle=nnfe20		nnfe20		fulltext		Taylor & Francis	Serial							10.1080/nnfe19	P
Studying Teacher Education	1742-5964	1742-5972	2005-05	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cste20		cste20		fulltext		Routledge	Serial								P
Substance Abuse	0889-7077	1547-0164	1997-03	18	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wsub20		wsub20		fulltext		Routledge	Serial								P
Sulfur Letters	0278-6117		2002-01	25	1	2003-10	26	5-6	http://www.tandfonline.com/openurl?genre=journal&stitle=gsul20		gsul20		fulltext		Taylor & Francis	Serial								P
Sulfur reports	0196-1772	1029-0508	1997-05	19	2	2003-10	24	3	http://www.tandfonline.com/openurl?genre=journal&stitle=gsrp19		gsrp19		fulltext		Taylor & Francis	Serial								P
Supramolecular Chemistry	1061-0278	1029-0478	1997-02	8	2				http://www.tandfonline.com/openurl?genre=journal&stitle=gsch20		gsch20		fulltext		Taylor & Francis	Serial								P
Survival	0039-6338	1468-2699	1997-03	39	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tsur20		tsur20		fulltext		Routledge	Serial								P
Symbolae Osloenses	0039-7679	1502-7805	1997-01	72	1				http://www.tandfonline.com/openurl?genre=journal&stitle=sosl20		sosl20		fulltext		Routledge	Serial							10.1080/sosl19	P
Symposium: A Quarterly Journal in Modern Literatures	0039-7709	1931-0676	1997-01	50	4				http://www.tandfonline.com/openurl?genre=journal&stitle=vsym20		vsym20		fulltext		Routledge	Serial								P
Synchrotron Radiation News	0894-0886	1931-7344	1997-01	10	1				http://www.tandfonline.com/openurl?genre=journal&stitle=gsrn20		gsrn20		fulltext		Taylor & Francis	Serial								P
Synthesis and Reactivity in Inorganic and Metal-Organic Chemistry	0094-5714	1532-2440	1997-01	27	1	2004-12	34	10	http://www.tandfonline.com/openurl?genre=journal&stitle=lsrt19		lsrt19		fulltext		Taylor & Francis	Serial								P
Synthesis and Reactivity in Inorganic, Metal-Organic, and Nano-Metal Chemistry	1553-3174	1553-3182	2005-01	35	1				http://www.tandfonline.com/openurl?genre=journal&stitle=lsrt20		lsrt20		fulltext		Taylor & Francis	Serial							10.1080/lsrt19	P
Synthetic Communications	0039-7911	1532-2432	1997-01	27	1				http://www.tandfonline.com/openurl?genre=journal&stitle=lsyc20		lsyc20		fulltext		Taylor & Francis	Serial								P
Systematics and Biodiversity	1477-2000	1478-0933	2003-05	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tsab20		tsab20		fulltext		Taylor & Francis	Serial								P
Systems Analysis Modelling Simulation	0232-9298		2002-01	42	1				http://www.tandfonline.com/openurl?genre=journal&stitle=gsam20		gsam20		fulltext		Taylor & Francis	Serial								P
Systems Biomedicine	2162-8130	2162-8149	2013-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=kssb20		kssb20		fulltext		Taylor & Francis	Serial								P
Systems Science & Control Engineering		2164-2583	2013-12	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tssc20		tssc20		fulltext		Taylor & Francis	Serial								F
Teacher Development	1366-4530	1747-5120	1997-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rtde20		rtde20		fulltext		Routledge	Serial								P
Teachers and Teaching	1354-0602	1470-1278	1997-03	3	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ctat20		ctat20		fulltext		Routledge	Serial								P
Teaching Artist Journal	1541-1796	1541-180X	2003-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=htaj20		htaj20		fulltext		Routledge	Serial								P
Teaching Education	1047-6210	1470-1286	1997-06	9	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cted20		cted20		fulltext		Routledge	Serial								P
Teaching and Learning in Medicine	1040-1334	1532-8015	1997-01	9	1				http://www.tandfonline.com/openurl?genre=journal&stitle=htlm20		htlm20		fulltext		Routledge	Serial								P
Teaching in Higher Education	1356-2517	1470-1294	1997-03	2	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cthe20		cthe20		fulltext		Routledge	Serial								P
Technical Communication Quarterly	1057-2252	1542-7625	1997-01	6	1				http://www.tandfonline.com/openurl?genre=journal&stitle=htcq20		htcq20		fulltext		Routledge	Serial								P
Technical Services Quarterly	0731-7131	1555-3337	1997-03	14	3				http://www.tandfonline.com/openurl?genre=journal&stitle=wtsq20		wtsq20		fulltext		Routledge	Serial								P
Technological and Economic Development of Economy	2029-4913	2029-4921	2011-03	17	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tted21		tted21		fulltext		Taylor & Francis	Serial							10.1080/tted20	P
Technology Analysis & Strategic Management	0953-7325	1465-3990	1997-01	9	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ctas20		ctas20		fulltext		Routledge	Serial								P
Technology, Pedagogy and Education	1475-939X	1747-5139	2003-03	12	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rtpe20		rtpe20		fulltext		Routledge	Serial							10.1080/rtpe19	P
